Date : 2024-09-30 11:16:33
Directory : c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react
Total : 293 files,  33119 codes, 507 comments, 1217 blanks, all 34843 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\package-lock.json                                                                                    | JSON               |     18,116 |          0 |          1 |     18,117 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\package.json                                                                                         | JSON               |         47 |          0 |          1 |         48 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\public\assets\Logo.svg                                                                               | XML                |         14 |          0 |          1 |         15 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\public\assets\projects\swpo\snp_logo.svg                                                             | XML                |         35 |          1 |          1 |         37 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\public\assets\projects\yeoljeong\yeoljeong_logo.svg                                                  | XML                |         49 |          0 |          0 |         49 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\public\data\de\projects.json                                                                         | JSON               |        595 |          0 |          0 |        595 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\public\data\de\testimonials.json                                                                     | JSON               |          8 |          0 |          0 |          8 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\public\data\en\projects.json                                                                         | JSON               |        595 |          0 |          0 |        595 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\public\data\en\testimonials.json                                                                     | JSON               |          8 |          0 |          0 |          8 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\public\index.html                                                                                    | HTML               |         17 |          0 |          1 |         18 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\public\manifest.json                                                                                 | JSON               |          9 |          0 |          1 |         10 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\App.tsx                                                                                          | TypeScript JSX     |         12 |          0 |          3 |         15 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\AppConfig.ts                                                                                     | TypeScript         |         40 |          0 |          2 |         42 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\api\DataAPI.ts                                                                                   | TypeScript         |          9 |          0 |          1 |         10 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\api\ProjectRepository.ts                                                                         | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\api\Repository.ts                                                                                | TypeScript         |          9 |          0 |          3 |         12 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\api\TestimonialRepository.ts                                                                     | TypeScript         |         11 |          0 |          2 |         13 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\Logo.svg                                                                                  | XML                |         14 |          0 |          1 |         15 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\aboutMe\certificate.svg                                                                   | XML                |          9 |          0 |          1 |         10 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\aboutMe\education.svg                                                                     | XML                |          8 |          0 |          1 |          9 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\aboutMe\languages.svg                                                                     | XML                |         15 |          0 |          1 |         16 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\background\SpikeShapes.svg                                                                | XML                |         19 |          2 |          0 |         21 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\background\SpikeShapesSmallScreen.svg                                                     | XML                |         25 |          0 |          0 |         25 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\icons\burger_menu.svg                                                                     | XML                |          3 |          0 |          0 |          3 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\icons\chevron_left.svg                                                                    | XML                |          3 |          0 |          0 |          3 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\icons\chevron_right.svg                                                                   | XML                |          3 |          0 |          0 |          3 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\icons\close.svg                                                                           | XML                |          3 |          0 |          0 |          3 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\icons\coffee_to_go.svg                                                                    | XML                |          7 |          0 |          1 |          8 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\icons\open_in_new.svg                                                                     | XML                |          3 |          0 |          0 |          3 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\icons\xing_icon.svg                                                                       | XML                |          6 |          0 |          0 |          6 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\tasks\clean_code.svg                                                                      | XML                |          9 |          0 |          1 |         10 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\tasks\coding.svg                                                                          | XML                |          9 |          0 |          1 |         10 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\tasks\database.svg                                                                        | XML                |         12 |          0 |          1 |         13 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\tasks\dev_ops.svg                                                                         | XML                |         13 |          0 |          1 |         14 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\tasks\framework.svg                                                                       | XML                |         12 |          0 |          1 |         13 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\tasks\orga.svg                                                                            | XML                |         22 |          0 |          1 |         23 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\tasks\others.svg                                                                          | XML                |          7 |          0 |          1 |          8 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\tasks\project.svg                                                                         | XML                |         18 |          0 |          1 |         19 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\tasks\protocol.svg                                                                        | XML                |         19 |          0 |          1 |         20 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\tasks\spanner.svg                                                                         | XML                |          6 |          0 |          1 |          7 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\tasks\testing.svg                                                                         | XML                |         16 |          0 |          1 |         17 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\tasks\usability.svg                                                                       | XML                |         16 |          0 |          1 |         17 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\accordion\Accordion.tsx                                                               | TypeScript JSX     |         35 |          0 |          5 |         40 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\accordion\IAccordionProps.ts                                                          | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\accordion\accordionItem\AccordionItem.module.scss                                     | SCSS               |         54 |          0 |         11 |         65 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\accordion\accordionItem\AccordionItem.tsx                                             | TypeScript JSX     |         50 |          0 |          4 |         54 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\accordion\accordionItem\IAccordionItemProps.ts                                        | TypeScript         |         10 |          0 |          2 |         12 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\button\Button.module.scss                                                             | SCSS               |         15 |          0 |          2 |         17 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\button\Button.tsx                                                                     | TypeScript JSX     |         13 |          0 |          2 |         15 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\button\IButtonProps.ts                                                                | TypeScript         |          6 |          0 |          2 |          8 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\carousel\Carousel.module.scss                                                         | SCSS               |          8 |          0 |          1 |          9 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\carousel\Carousel.tsx                                                                 | TypeScript JSX     |         34 |          0 |          4 |         38 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\carousel\ICarouselProps.ts                                                            | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\carousel\carouselContent\CarouselContent.module.scss                                  | SCSS               |         61 |          0 |         12 |         73 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\carousel\carouselContent\CarouselContent.tsx                                          | TypeScript JSX     |         97 |          0 |          5 |        102 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\carousel\carouselContent\ICarouselContentProps.ts                                     | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\carousel\carouselContent\useCarouselContentViewModel.ts                               | TypeScript         |        110 |          1 |         16 |        127 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\carousel\carouselItem\CarouselItem.module.scss                                        | SCSS               |         13 |          0 |          2 |         15 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\carousel\carouselItem\CarouselItem.tsx                                                | TypeScript JSX     |         25 |          0 |          4 |         29 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\carousel\carouselItem\ICarouselItemProps.ts                                           | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\carousel\useCarouselViewModel.ts                                                      | TypeScript         |          6 |          0 |          3 |          9 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\detailedEntityIconList\DetailedEntityIconList.module.scss                             | SCSS               |         18 |          0 |          3 |         21 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\detailedEntityIconList\DetailedEntityIconList.tsx                                     | TypeScript JSX     |         36 |          0 |          4 |         40 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\detailedEntityIconList\IDetailedEntityIconListProps.ts                                | TypeScript         |         12 |          0 |          2 |         14 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\link\ILinkProps.ts                                                                    | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\link\Link.tsx                                                                         | TypeScript JSX     |         17 |          0 |          2 |         19 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\loadingSpinner\ILoadingSpinnerProps.ts                                                | TypeScript         |          2 |          0 |          2 |          4 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\loadingSpinner\LoadingSpinner.module.scss                                             | SCSS               |         19 |          0 |          3 |         22 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\loadingSpinner\LoadingSpinner.tsx                                                     | TypeScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\modal\IModalProps.ts                                                                  | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\modal\Modal.module.scss                                                               | SCSS               |         31 |          0 |          4 |         35 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\modal\Modal.tsx                                                                       | TypeScript JSX     |         32 |          0 |          3 |         35 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\modal\useModal.tsx                                                                    | TypeScript JSX     |         31 |          0 |          5 |         36 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\quote\IQuoteProps.ts                                                                  | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\quote\Quote.module.scss                                                               | SCSS               |         31 |          0 |          7 |         38 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\quote\Quote.tsx                                                                       | TypeScript JSX     |         33 |          0 |          2 |         35 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\tabstrip\ITabstripProps.ts                                                            | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\tabstrip\Tabstrip.module.scss                                                         | SCSS               |         13 |          0 |          2 |         15 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\tabstrip\Tabstrip.tsx                                                                 | TypeScript JSX     |         28 |          0 |          5 |         33 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\tabstrip\tabstripItem\ITabstripItemProps.ts                                           | TypeScript         |          7 |          0 |          1 |          8 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\tabstrip\tabstripItem\TabstripItem.module.scss                                        | SCSS               |         39 |          0 |          9 |         48 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\tabstrip\tabstripItem\TabstripItem.tsx                                                | TypeScript JSX     |         21 |          0 |          2 |         23 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\context\AppContext.ts                                                                            | TypeScript         |          3 |          0 |          2 |          5 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\context\IAppContext.ts                                                                           | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\core\Signal.ts                                                                                   | TypeScript         |          4 |          0 |          2 |          6 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\core\errors\IllegalArgumentError.ts                                                              | TypeScript         |          1 |          5 |          1 |          7 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\core\services\date\DateTime.ts                                                                   | TypeScript         |        271 |        214 |         59 |        544 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\core\services\date\DateTimeFormatter.ts                                                          | TypeScript         |         34 |         28 |          4 |         66 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\core\services\date\Duration.ts                                                                   | TypeScript         |         82 |          7 |         14 |        103 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\core\services\date\IDateTimeSpan.ts                                                              | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\core\services\date\isDateTimeSpan.ts                                                             | TypeScript         |         16 |          3 |          6 |         25 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\core\types\ISignal.ts                                                                            | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\core\types\Month.ts                                                                              | TypeScript         |         14 |          0 |          1 |         15 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\core\types\Value.ts                                                                              | TypeScript         |          4 |          3 |          1 |          8 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\core\utils\error.ts                                                                              | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\core\utils\request.ts                                                                            | TypeScript         |          3 |          0 |          1 |          4 |
